TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
BKN,2021-07-04,@MIL,"JAMES, LEBRON",31,36,10,0,10,6,0,3,1,15,17,0.8823529412,2,2,1,4,4,1,1,MIL,0,55,NA,133,125,36.50958904,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"DINWIDDIE, SPENCER",31,21,2,2,0,4,0,1,2,6,21,0.2857142857,3,7,0.4285714286,6,7,0.8571428571,0,MIL,0,28,NA,133,125,28.24383562,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"HARRIS, JOE",33,13,3,0,3,4,3,0,0,4,10,0.4,3,6,0.5,2,2,1,1,MIL,0,23,NA,133,125,29.82465753,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"CAULEY-STEIN, WILLIE",28,13,7,2,5,3,1,3,0,6,8,0.75,0,0,NA,1,2,0.5,2,MIL,0,27,NA,133,125,27.87671233,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"COVINGTON, ROBERT",31,6,7,0,7,3,1,5,0,3,7,0.4285714286,0,3,0,0,0,NA,4,MIL,0,22,NA,133,125,30.55342466,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"CARUSO, ALEX",16,4,2,0,2,4,1,0,0,1,4,0.25,0,1,0,2,4,0.5,2,MIL,0,11,NA,133,125,27.34520548,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"ALDRIDGE, LAMARCUS",17,0,1,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,1,MIL,0,2,NA,133,125,35.95890411,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"GIBSON, TAJ",10,0,1,0,1,0,1,0,0,0,0,NA,0,0,NA,0,0,NA,1,MIL,0,2,NA,133,125,36.02739726,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"OKAFOR, JAHLIL",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIL,0,0,NA,133,125,25.55068493,W,PLAYOFF,2,2,20-21
BKN,2021-07-04,@MIL,"HOUSE, DANUEL",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIL,0,0,NA,133,125,28.0739726,W,PLAYOFF,2,2,20-21
